Country,InvoiceMonthYear,InvoiceSale
Australia,2010-12,1032.85
Australia,2011-01,9017.710000000001
Australia,2011-02,14695.42
Australia,2011-03,17223.99
Australia,2011-04,771.6
Australia,2011-05,13638.41
Australia,2011-06,25187.77
Australia,2011-07,4964.38
Australia,2011-08,22489.2
Australia,2011-09,5106.7300000000005
Australia,2011-10,17150.53
Australia,2011-11,7242.72
Austria,2010-12,277.2
Austria,2011-02,518.36
Austria,2011-03,1708.12
Austria,2011-04,680.78
Austria,2011-05,1249.43
Austria,2011-07,1191.95
Austria,2011-08,1516.08
Austria,2011-10,1043.78
Austria,2011-11,1329.78
Austria,2011-12,683.2
Bahrain,2010-12,205.74
Bahrain,2011-05,548.4
Belgium,2010-12,1809.91
Belgium,2011-01,1200.2
Belgium,2011-02,2181.07
Belgium,2011-03,3351.98
Belgium,2011-04,1989.48
Belgium,2011-05,2732.4
Belgium,2011-06,4274.82
Belgium,2011-07,2475.57
Belgium,2011-08,3554.02
Belgium,2011-09,4208.02
Belgium,2011-10,5685.38
Belgium,2011-11,6315.76
Belgium,2011-12,1417.73
Brazil,2011-04,1143.6
Canada,2011-03,140.54
Canada,2011-05,534.24
Canada,2011-06,1171.46
Canada,2011-07,1768.58
Canada,2011-08,51.559999999999995
Channel Islands,2010-12,363.53
Channel Islands,2011-01,675.58
Channel Islands,2011-02,1784.71
Channel Islands,2011-03,3509.33
Channel Islands,2011-04,293.0
Channel Islands,2011-05,1207.24
Channel Islands,2011-06,2060.0299999999997
Channel Islands,2011-08,4896.78
Channel Islands,2011-09,1323.75
Channel Islands,2011-10,2623.32
Channel Islands,2011-11,1514.77
Channel Islands,2011-12,198.4
Cyprus,2010-12,1590.82
Cyprus,2011-01,547.5
Cyprus,2011-02,4334.24
Cyprus,2011-03,938.39
Cyprus,2011-06,1109.32
Cyprus,2011-09,196.35
Cyprus,2011-10,4412.87
Cyprus,2011-11,460.89
Czech Republic,2011-02,549.26
Czech Republic,2011-10,277.48
Denmark,2010-12,1281.5
Denmark,2011-02,399.22
Denmark,2011-03,3978.9900000000002
Denmark,2011-05,515.7
Denmark,2011-06,3261.15
Denmark,2011-07,376.24
Denmark,2011-08,213.15
Denmark,2011-09,4570.16
Denmark,2011-10,1490.76
Denmark,2011-11,2699.57
Denmark,2011-12,168.9
EIRE,2010-12,10033.26
EIRE,2011-01,21904.19
EIRE,2011-02,12248.74
EIRE,2011-03,22197.51
EIRE,2011-04,7570.5
EIRE,2011-05,18008.760000000002
EIRE,2011-06,24863.61
EIRE,2011-07,42789.85
EIRE,2011-08,18353.75
EIRE,2011-09,43086.55
EIRE,2011-10,24317.920000000002
EIRE,2011-11,30738.43
EIRE,2011-12,7340.89
European Community,2011-04,191.4
European Community,2011-06,432.05
European Community,2011-07,676.8
Finland,2010-12,892.8
Finland,2011-01,889.02
Finland,2011-02,205.16
Finland,2011-03,5936.82
Finland,2011-04,1688.92
Finland,2011-06,329.56
Finland,2011-07,2996.73
Finland,2011-08,1376.5
Finland,2011-09,1105.45
Finland,2011-10,2822.12
Finland,2011-11,3070.24
Finland,2011-12,1232.76
France,2010-12,9616.31
France,2011-01,17740.12
France,2011-02,8515.96
France,2011-03,14589.55
France,2011-04,5529.61
France,2011-05,17614.88
France,2011-06,16348.41
France,2011-07,10000.19
France,2011-08,13810.96
France,2011-09,23428.04
France,2011-10,33485.45
France,2011-11,31758.71
France,2011-12,7276.92
Germany,2010-12,15241.14
Germany,2011-01,16910.84
Germany,2011-02,9581.05
Germany,2011-03,14392.69
Germany,2011-04,12315.54
Germany,2011-05,25751.2
Germany,2011-06,13274.1
Germany,2011-07,16440.98
Germany,2011-08,19220.77
Germany,2011-09,18091.22
Germany,2011-10,31638.42
Germany,2011-11,28025.02
Germany,2011-12,7984.17
Greece,2011-01,2661.24
Greece,2011-03,387.31
Greece,2011-04,609.74
Greece,2011-07,421.24
Greece,2011-12,680.99
Hong Kong,2011-01,2439.76
Hong Kong,2011-03,2583.76
Hong Kong,2011-04,1539.64
Hong Kong,2011-05,1966.16
Hong Kong,2011-06,633.96
Hong Kong,2011-08,2813.9500000000003
Hong Kong,2011-09,2653.95
Hong Kong,2011-10,734.52
Hong Kong,2011-11,326.1
Iceland,2010-12,711.79
Iceland,2011-01,475.39
Iceland,2011-04,636.25
Iceland,2011-06,382.52
Iceland,2011-08,584.9100000000001
Iceland,2011-10,1294.32
Iceland,2011-12,224.82
Israel,2011-01,379.84000000000003
Israel,2011-02,779.1
Israel,2011-04,110.0
Israel,2011-07,1430.75
Israel,2011-08,4873.8099999999995
Israel,2011-09,423.73
Israel,2011-10,138.03
Italy,2010-12,811.5
Italy,2011-01,2402.51
Italy,2011-02,256.0
Italy,2011-03,1806.81
Italy,2011-04,737.8299999999999
Italy,2011-05,587.45
Italy,2011-06,202.07
Italy,2011-07,147.1
Italy,2011-08,1990.95
Italy,2011-09,279.8
Italy,2011-10,3489.69
Italy,2011-11,4571.08
Italy,2011-12,200.45000000000002
Japan,2010-12,7705.07
Japan,2011-02,5780.8099999999995
Japan,2011-03,48.9
Japan,2011-04,6548.5
Japan,2011-05,1351.45
Japan,2011-06,1607.04
Japan,2011-07,3854.4
Japan,2011-09,112.07999999999998
Japan,2011-10,1948.0400000000002
Japan,2011-11,8460.08
Lebanon,2011-01,1693.88
Lithuania,2010-12,1661.06
Malta,2011-06,863.16
Malta,2011-08,1119.0
Malta,2011-11,743.43
Netherlands,2010-12,8784.48
Netherlands,2011-01,26611.16
Netherlands,2011-02,23011.91
Netherlands,2011-03,22416.489999999998
Netherlands,2011-04,2976.56
Netherlands,2011-05,29185.88
Netherlands,2011-06,26858.09
Netherlands,2011-07,26.02
Netherlands,2011-08,40327.81
Netherlands,2011-09,26937.26
Netherlands,2011-10,40708.65
Netherlands,2011-11,25874.01
Netherlands,2011-12,11728.02
Norway,2010-12,3787.12
Norway,2011-02,630.9
Norway,2011-03,1265.31
Norway,2011-06,5886.860000000001
Norway,2011-07,890.0699999999999
Norway,2011-08,2025.81
Norway,2011-09,8678.94
Norway,2011-10,3687.23
Norway,2011-11,6527.5
Norway,2011-12,2785.7000000000003
Poland,2010-12,248.16
Poland,2011-01,613.22
